12252398, 11142838, 10396237
12298806, 11158770, 10443471
12287847, 11152496, 10437333
12297035, 11153365, 10448571
12228023, 11128408, 10375341
12282073, 11137229, 10429255
12262725, 11130868, 10405217
12263098, 11129230, 10405673
12214868, 11112640, 10352295
12251974, 11119887, 10396096
12239002, 11110642, 10376803
12237024, 11111917, 10370764
12298154, 11192834, 10421604
12304481, 11197520, 10424884
12316344, 11201901, 10435088
12307975, 11198550, 10417477
12309473, 11200951, 10415368
12310473, 11201477, 10416219
12312518, 11196667, 10409089
12312362, 11201283, 10406380
12317006, 11203971, 10406785
12309969, 11197642, 10400334
12312756, 11196515, 10400003
12309216, 11195201, 10400678
12298841, 11183610, 10391635
12289969, 11182257, 10383643
12288588, 11182780, 10381560
12286479, 11178029, 10375859
12283826, 11172768, 10370993
12286729, 11176695, 10379899
12279518, 11172830, 10371211
12270646, 11171173, 10361907
12268022, 11173165, 10362423
12264205, 11170503, 10357465
12263251, 11171747, 10353164
12264077, 11172548, 10355521
12262480, 11171911, 10353888
12265734, 11174180, 10358762
12261762, 11174309, 10354130
12265629, 11180425, 10358108
12258884, 11177699, 10358217
12260143, 11180685, 10359626
12261167, 11178826, 10360350
12262838, 11177339, 10361552
12266374, 11179956, 10368630
12269291, 11183314, 10372699
12261559, 11181982, 10366054
12258689, 11180937, 10368352
12256325, 11179467, 10365622
12259890, 11177771, 10366284
12258970, 11176973, 10366814
12260344, 11178137, 10370592
12256398, 11179390, 10371129
12256449, 11179897, 10368764
12260931, 11179047, 10381181
12259453, 11177705, 10379944
12259955, 11177250, 10381775
12261615, 11176563, 10383292
12262800, 11175150, 10383017
12264789, 11172753, 10386456
12261419, 11169072, 10383901
12262697, 11170651, 10385218
12266433, 11171195, 10385476
12267854, 11170031, 10386694
12274413, 11172136, 10393248
12273974, 11172657, 10392660
12270511, 11171123, 10393479
12270854, 11172802, 10395184
12271967, 11172608, 10395910
12271025, 11170961, 10393731
12270495, 11170290, 10394074
12270568, 11167078, 10391794
12272269, 11169530, 10395488
12273677, 11168213, 10392233
12276161, 11167488, 10390940
12276660, 11166686, 10388702
12276363, 11166425, 10390570
12273298, 11163320, 10390423
12274811, 11165729, 10392508
12276255, 11166040, 10390368
12286078, 11169092, 10399682
12278763, 11166236, 10391910
12287446, 11168598, 10399325
12281480, 11167773, 10393196
12297004, 11177490, 10409199
12304607, 11178348, 10416812
12295129, 11174051, 10405354
14824018, 13824846, 12096727
14860319, 13839278, 12145230
14861469, 13857108, 12151732
14880951, 13878802, 12187438
14847196, 13874819, 12156335
14893727, 13899549, 12224316
14887213, 13913321, 12229400
14904737, 13932888, 12256289
14881985, 13935525, 12239001
14909894, 13932305, 12279734
14894364, 13925237, 12269415
14897832, 13924380, 12267366
14788155, 13855918, 12189381
14833085, 13879353, 12251327
14835349, 13887549, 12253343
14816443, 13878754, 12238856
14776615, 13858672, 12202662
14797657, 13852163, 12222622
14789026, 13842612, 12212664
14780620, 13833054, 12204705
14748454, 13820553, 12170400
14789240, 13823421, 12212985
14764356, 13808764, 12179947
14767136, 13800577, 12182317
14719283, 13775285, 12128006
14754975, 13781183, 12168134
14749038, 13783312, 12167082
14751243, 13781771, 12171663
14703948, 13768743, 12123372
14749729, 13762931, 12172605
14730363, 13752211, 12147425
